epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1532.1,1.05646,1.14601,1.27598,0.67635,0.64407,0.67195,0.5208,1.27858,1.43541,1.42487,0.0005941,0.0005941,0.0005941
43,1567.59,1.0573,1.15912,1.27225,0.67388,0.66132,0.66135,0.51373,1.29786,1.46573,1.4348,0.0005842,0.0005842,0.0005842
44,1602.94,1.04282,1.13486,1.26626,0.68877,0.64698,0.66981,0.52399,1.26958,1.43011,1.41903,0.0005743,0.0005743,0.0005743
45,1638.4,1.03634,1.11738,1.26078,0.66381,0.67207,0.67365,0.53307,1.26344,1.40032,1.41435,0.0005644,0.0005644,0.0005644
46,1674.27,1.04482,1.11491,1.26534,0.72174,0.65169,0.67384,0.52788,1.28048,1.39354,1.41825,0.0005545,0.0005545,0.0005545
47,1709.87,1.02065,1.09606,1.25427,0.70027,0.6463,0.67268,0.52686,1.25608,1.40477,1.41796,0.0005446,0.0005446,0.0005446
48,1745.55,1.04124,1.10536,1.25684,0.7074,0.64558,0.67816,0.52688,1.27248,1.42369,1.40258,0.0005347,0.0005347,0.0005347
49,1780.93,1.02721,1.10087,1.24894,0.68886,0.66708,0.68844,0.53657,1.25141,1.37907,1.40635,0.0005248,0.0005248,0.0005248
50,1816.7,1.01844,1.08336,1.24543,0.67796,0.68832,0.68267,0.5329,1.26685,1.40546,1.41758,0.0005149,0.0005149,0.0005149
51,1852.48,1.00187,1.06041,1.23686,0.67901,0.68059,0.68438,0.53384,1.29186,1.41192,1.44443,0.000505,0.000505,0.000505
52,1887.65,1.01318,1.0527,1.24173,0.69126,0.6604,0.67734,0.53163,1.26215,1.37826,1.39783,0.0004951,0.0004951,0.0004951
53,1923.17,1.00221,1.0567,1.23192,0.68144,0.66594,0.67179,0.52763,1.27818,1.41722,1.44811,0.0004852,0.0004852,0.0004852
54,1958.58,1.00667,1.03238,1.22572,0.71365,0.65864,0.67888,0.5315,1.27215,1.38265,1.41647,0.0004753,0.0004753,0.0004753
55,1994.15,0.98619,1.02644,1.22473,0.67727,0.67307,0.68263,0.53862,1.27113,1.38133,1.43366,0.0004654,0.0004654,0.0004654
56,2029.66,0.99084,1.01608,1.22538,0.67076,0.68269,0.68233,0.53164,1.28304,1.40544,1.42704,0.0004555,0.0004555,0.0004555
57,2065.35,0.99384,1.01369,1.23388,0.70818,0.68107,0.69265,0.53863,1.29678,1.37852,1.4391,0.0004456,0.0004456,0.0004456
58,2100.54,0.98146,1.00201,1.2175,0.7033,0.66848,0.68459,0.5415,1.26357,1.3663,1.41561,0.0004357,0.0004357,0.0004357
59,2135.89,0.97541,0.99373,1.21299,0.72796,0.65693,0.691,0.54771,1.28049,1.38852,1.43194,0.0004258,0.0004258,0.0004258
60,2171.41,0.97898,0.98837,1.21649,0.68098,0.68803,0.6845,0.53951,1.29051,1.40397,1.44033,0.0004159,0.0004159,0.0004159
61,2206.88,0.9518,0.95566,1.19915,0.69571,0.68731,0.69191,0.53729,1.29804,1.39516,1.45388,0.000406,0.000406,0.000406
62,2242.43,0.96671,0.9723,1.20837,0.7041,0.66256,0.68855,0.542,1.27383,1.37166,1.42235,0.0003961,0.0003961,0.0003961
63,2278,0.9634,0.95887,1.20171,0.71411,0.67067,0.68409,0.54116,1.26619,1.35642,1.4249,0.0003862,0.0003862,0.0003862
64,2313.37,0.95458,0.94002,1.19198,0.71053,0.66334,0.69219,0.54104,1.27264,1.33833,1.43015,0.0003763,0.0003763,0.0003763
65,2348.88,0.93821,0.94101,1.18805,0.68788,0.67444,0.6955,0.54461,1.27609,1.34846,1.42887,0.0003664,0.0003664,0.0003664
66,2384.34,0.9417,0.92857,1.18848,0.70165,0.67992,0.69004,0.54429,1.25688,1.35532,1.43597,0.0003565,0.0003565,0.0003565
