epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3269.22,1.04482,1.16314,1.40388,0.69752,0.66207,0.69003,0.50626,1.3527,1.52146,1.68676,0.0005941,0.0005941,0.0005941
43,3345.41,1.03991,1.16963,1.39636,0.71005,0.64599,0.66791,0.4972,1.38515,1.58709,1.72929,0.0005842,0.0005842,0.0005842
44,3421.73,1.03541,1.1433,1.3921,0.72673,0.64743,0.68038,0.5027,1.37088,1.53449,1.71028,0.0005743,0.0005743,0.0005743
45,3498.04,1.02266,1.13326,1.38118,0.72445,0.66697,0.68571,0.50402,1.35309,1.53897,1.69424,0.0005644,0.0005644,0.0005644
46,3574.28,1.03117,1.12095,1.38914,0.69685,0.68511,0.6918,0.51391,1.35021,1.50258,1.67265,0.0005545,0.0005545,0.0005545
47,3651.08,1.01619,1.1093,1.37389,0.70345,0.65752,0.67364,0.49967,1.38083,1.61011,1.72773,0.0005446,0.0005446,0.0005446
48,3728.06,1.02113,1.10985,1.37489,0.7031,0.67784,0.69966,0.51692,1.34305,1.46252,1.67975,0.0005347,0.0005347,0.0005347
49,3804.5,1.01129,1.0994,1.37159,0.71838,0.65778,0.69271,0.52058,1.34705,1.47817,1.67681,0.0005248,0.0005248,0.0005248
50,3881.32,1.00474,1.08859,1.36858,0.70115,0.67465,0.68432,0.51275,1.32742,1.49005,1.66074,0.0005149,0.0005149,0.0005149
51,3957.66,0.99643,1.07567,1.35339,0.71129,0.66083,0.68811,0.51339,1.35187,1.50838,1.69357,0.000505,0.000505,0.000505
52,4034.76,0.99471,1.0463,1.35054,0.72392,0.67894,0.70137,0.51864,1.34389,1.45342,1.65927,0.0004951,0.0004951,0.0004951
53,4111.68,0.98864,1.04306,1.34531,0.7116,0.65712,0.69245,0.51736,1.3218,1.46909,1.6532,0.0004852,0.0004852,0.0004852
54,4188.79,0.98944,1.02396,1.33565,0.69491,0.68308,0.68968,0.51079,1.37836,1.51982,1.72254,0.0004753,0.0004753,0.0004753
55,4265.15,0.96885,1.0236,1.33449,0.70035,0.67353,0.68714,0.51203,1.36757,1.52084,1.70173,0.0004654,0.0004654,0.0004654
